0.000000 0.000000
0.000200 0.000967
0.000500 0.001525
0.001000 0.002144
0.001500 0.002612
0.002000 0.003001
0.005000 0.004614
0.010000 0.006284
0.015000 0.007523
0.020000 0.008536
0.030000 0.010237
0.040000 0.011661
0.050000 0.012916
0.060000 0.014018
0.080000 0.015961
0.100000 0.017669
0.120000 0.019133
0.140000 0.020428
0.160000 0.021562
0.180000 0.022557
0.200000 0.023424
0.220000 0.024169
0.240000 0.024803
0.260000 0.025332
0.280000 0.025800
0.300000 0.026161
0.320000 0.026508
0.340000 0.026809
0.360000 0.027054
0.380000 0.027154
0.400000 0.027157
0.420000 0.027042
0.440000 0.026808
0.460000 0.026483
0.480000 0.026058
0.500000 0.025509
0.520000 0.024924
0.540000 0.024279
0.560000 0.023560
0.580000 0.022793
0.600000 0.021987
0.620000 0.021148
0.640000 0.020268
0.660000 0.019353
0.680000 0.018375
0.700000 0.017354
0.720000 0.016286
0.740000 0.015184
0.760000 0.014059
0.780000 0.012906
0.800000 0.011727
0.820000 0.010532
0.840000 0.009338
0.860000 0.008180
0.880000 0.007036
0.900000 0.005882
0.920000 0.004699
0.940000 0.003503
0.960000 0.002442
0.970000 0.001962
0.980000 0.001501
0.990000 0.001012
0.995000 0.000706
1.000000 0.000000
