0.000000 0.000000
0.000200 0.000759
0.000500 0.001196
0.001000 0.001681
0.001500 0.002047
0.002000 0.002351
0.005000 0.003609
0.010000 0.004914
0.015000 0.005869
0.020000 0.006664
0.030000 0.007982
0.040000 0.009083
0.050000 0.010045
0.060000 0.010906
0.080000 0.012416
0.100000 0.013726
0.120000 0.014868
0.140000 0.015873
0.160000 0.016768
0.180000 0.017568
0.200000 0.018280
0.220000 0.018908
0.240000 0.019459
0.260000 0.019938
0.280000 0.020348
0.300000 0.020694
0.320000 0.020974
0.340000 0.021189
0.360000 0.021340
0.380000 0.021425
0.400000 0.021435
0.420000 0.021356
0.440000 0.021189
0.460000 0.020941
0.480000 0.020624
0.500000 0.020241
0.520000 0.019799
0.540000 0.019299
0.560000 0.018745
0.580000 0.018147
0.600000 0.017504
0.620000 0.016819
0.640000 0.016093
0.660000 0.015331
0.680000 0.014534
0.700000 0.013704
0.720000 0.012848
0.740000 0.011971
0.760000 0.011081
0.780000 0.010177
0.800000 0.009266
0.820000 0.008352
0.840000 0.007437
0.860000 0.006527
0.880000 0.005618
0.900000 0.004702
0.920000 0.003758
0.940000 0.002817
0.960000 0.001955
0.970000 0.001570
0.980000 0.001201
0.990000 0.000808
0.995000 0.000563
1.000000 0.000000
